Item,adoption_per_SR,no_farmers_SR,COGS_MWG_SR,selling_price_MWG_SR,Total_COG_SR,Total_Revenue_SR,adoption_per_CR,no_farmers_CR,COGS_MWG_CR,selling_price_MWG_CR,Total_COG_CR,Total_Revenue_CR,Market_Prices_LR25,Delta ,Last_Year_Prices,Delta ,Total_Adoption_units,Total_Adoption_Per,LR24_Total Adoption,Total_Revenue_Dollar,Total_COGs_Dollar,Total_Margin_Dollar,Product_Margin_Per
Maize Bundle - Standard,,,,,,,,,,,,,,,,,,,,,,,
0.2 Acre Maize bundle,0.056065855,4934.916535,24152.07946,31397.70329,119188496.3,154945045.1,0,0,24152.07946,31397.70329,0,0,40000,-0.215057418,32800,-0.042752948,4934.916535,0.034063272,0.046,79255.77756,60965.98274,18289.79482,0.230769231
Maize Bundle - Reduced Urea,,,,,,,,,,,,,,,,,,,,,,,
1.5 Acre Maize bundle,0,0,161201.9138,209562.488,0,0,0.032710809,1859.773062,161201.9138,209562.488,299798976.9,389738669.9,240000,-0.126822967,201000,0.042599443,1859.773062,0.012837088,0.007,199354.8184,153349.8603,46004.95809,0.230769231
1 Acre Maize bundle,0.469589253,41333.24603,107378.6767,139592.2797,4438309261,5769802040,0.717034522,40766.99774,107378.6767,139592.2797,4377506269,5690758150,160000,-0.127548252,134000,0.041733431,82100.24376,0.56669711,0.587,5862179.125,4509368.558,1352810.567,0.230769231
1/2 Acre Maize bundle,0.294185808,25894.23481,53823.23715,69970.2083,1393711541,1811825004,0.248670062,14138.13639,53823.23715,69970.2083,760960267.8,989248348.1,80000,-0.125372396,67000,0.044331467,40032.3712,0.276323529,0.359,1432774.093,1102133.918,330640.1753,0.230769231
Top up Products,,,,,,,,,,,,,,,,,,,,,,,
Urea; 46-0-0; 25 KG Bag [Stock],0,0,18034.0063,23444.20819,0,0,0,0,18034.0063,23444.20819,0,0,40000,-0.413894795,32300,-0.274173121,0,0,0,0,0,0,0.230769231
Urea; 46-0-0;12.5 KG Bag [Stock],0,0,9017.003151,11722.1041,0,0,0,0,9017.003151,11722.1041,0,0,20000,-0.413894795,16150,-0.274173121,0,0,0,0,0,0,0.230769231
Maize Seed 10 kg,#N/A,#N/A,27794.28571,36132.57143,#N/A,#N/A,#N/A,#N/A,27794.28571,36132.57143,#N/A,#N/A,38000,-0.049142857,40900,-0.116563046,#N/A,#N/A,0,#N/A,#N/A,#N/A,0.230769231
Maize Seed 5 kg,#N/A,#N/A,14031.04167,18240.35417,#N/A,#N/A,#N/A,#N/A,14031.04167,18240.35417,#N/A,#N/A,19000,-0.03998136,20700,-0.11882347,#N/A,#N/A,0,#N/A,#N/A,#N/A,0.230769231
Legume; Groundnuts CG9; 2KG[Stock],0.206206472,18150.29367,7600,9880,137942231.9,179324901.4,0,0,7600,9880,0,0,5000,0.976,3900,1.533333333,18150.29367,0.125282441,0.16,91726.29229,70558.68638,21167.60591,0.230769231
Legume; Groundnuts CG9; 4KG[Stock],0.037477821,3298.797813,#N/A,#N/A,#N/A,#N/A,0.002263724,128.7040181,#N/A,#N/A,#N/A,#N/A,8500,0,7800,0,3427.501831,0.023658339,0.029,#N/A,#N/A,#N/A,0
Legume; Groundnuts CG9; 10KG[Stock],0.004429746,389.9062149,#N/A,#N/A,#N/A,#N/A,0.080814941,4594.733447,#N/A,#N/A,#N/A,#N/A,22500,0,19500,0,4984.639661,0.034406486,0.03,#N/A,#N/A,#N/A,0
Legume; Groundnuts CG9; 20KG[Stock],0.000132772,11.6865623,76000,98800,888178.7348,1154632.355,0.007923033,450.4640634,76000,98800,34235268.82,44505849.46,42000,1.352380952,39000,1.533333333,462.1506257,0.003189996,0.002,23355.74518,17965.95783,5389.787348,0.230769231
Legume; Groundnut CG13; 1 KG [Stock],0.180050453,15848.04089,2930,3809,46434759.82,60365187.76,0.00237691,135.139219,2930,3809,395957.9117,514745.2852,5000,-0.2382,3900,-0.023333333,15983.18011,0.110323935,0.136,31140.63072,23954.33132,7186.299396,0.230769231
Legume; Groundnut CG13; 2 KG [Stock],0.029837415,2626.289273,5860,7618,15390055.14,20007071.68,3.77287E-05,2.145066968,5860,7618,12570.09244,16341.12017,8500,-0.103764706,7800,-0.023333333,2628.43434,0.018142774,0.023,10242.15489,7878.580682,2363.574205,0.230769231
Legume; Groundnut CG13; 5 KG [Stock],0.005009113,440.9021231,14650,19045,6459216.104,8396980.935,0.112695718,6407.315035,14650,19045,93867165.26,122027314.8,22500,-0.153555556,19500,-0.023333333,6848.217158,0.047269834,0.026,66713.19477,51317.84213,15395.35264,0.230769231
Legume; Groundnut CG13; 10 KG [Stock],0.000108631,9.561732791,29300,38090,280158.7708,364206.402,0.000867761,49.33654028,29300,38090,1445560.63,1879228.819,42000,-0.093095238,39000,-0.023333333,58.89827307,0.000406545,0,1147.537197,882.7209211,264.8162763,0.230769231
Legume; Groundnut CG13; 20 KG [Stock],3.62105E-05,3.187244264,58600,76180,186772.5139,242804.268,0,0,58600,76180,0,0,84000,-0.093095238,78000,-0.023333333,3.187244264,2.2E-05,0,124.1965565,95.53581271,28.66074381,0.230769231
Legume; Nua-45 beans; 1KG[Stock],0.209115379,18406.33562,3720,4836,68471568.52,89013039.07,0,0,3720,4836,0,0,3800,0.272631579,4300,0.124651163,18406.33562,0.127049771,0.161,45530.96628,35023.82021,10507.14606,0.230769231
Legume; Nua-45 beans; 2KG[Stock],0.031249623,2750.5918,7440,9672,20464402.99,26603723.89,0,0,7440,9672,0,0,7400,0.307027027,8600,0.124651163,2750.5918,0.018985966,0.024,13608.04291,10467.72531,3140.317594,0.230769231
Legume; Nua-45 beans; 5KG[Stock],0.002860626,251.7922968,18600,24180,4683336.721,6088337.737,0.290435767,16512.72552,18600,24180,307136694.7,399277703.2,18500,0.307027027,21500,0.124651163,16764.51782,0.11571712,0.077,207348.3585,159498.7373,47849.6212,0.230769231
Legume; Nua-45 beans; 10KG[Stock],6.03508E-05,5.312073773,37200,48360,197609.1443,256891.8877,0.006791171,386.1120543,37200,48360,14363368.42,18672378.95,38000,0.272631579,43000,0.124651163,391.4241281,0.002701806,0.002,9682.491476,7448.070366,2234.42111,0.230769231
Legume; Nua-45 beans; 20KG[Stock],0,0,74400,96720,0,0,7.54575E-05,4.290133937,74400,96720,319185.9649,414941.7544,76000,0.272631579,86000,0.124651163,4.290133937,2.96127E-05,0,212.2464217,163.2664782,48.97994346,0.230769231
